ID,CANTIDAD,CB,LOTE
02807_01,24,7502211784241,r1511033
01885_03,4,7501573902614,lh1501
00712_05,1,7501573900443,SL1525
00553_01,2,7501075713473,420015
00187_04,4,7501125159350,15y055
02639_01,2,7501125102806,s15u885
00421_01,3,7501082208160,c434608u
00120_01,3,7501043110853,15b002
00779_01,3,7502009744976,152154
00802_01,1,7501098604116,pcgp
02696_01,2,7502213040505,5J269
02876_01,20,7502213040031,5g178
01885_10,12,7502009740305,152795
00679_01,4,7501108712213,L96795
02592_01,10,7501043149921,k5010
00779_01,1,7502009744976,150754
