ID,CANTIDAD,CB,LOTE,
02945_02,4,7503001007076,S5562,
02791_01,2,7501752514928,15045,
02945_02,2,7503001007076,s5562,
01855_02,10,7501258205733,160416,
00866_01,10,7501043163637,c737312,
02625_04,5,7501573900528,sh1531,
00565_10,10,7502227871676,rcn002,
02919_01,2,7501165006331,6F2883A,
00643_02,6,7503004908042,1509584,
02565_07,6,7501349021365,Q016050,
02835_01,6,7502001162013,16030706,
00511_01,3,7501752512917,15040,
02783_01,2,7502211780724,R1507346,
02697_01,1,736085904727,4014708,
02697_01,5,736085904727,4014708,
01555_01,5,300090050139,912bc,
02626_01,1,75006464,180035,
02872_01,1,7501298204970,m54838,
02023_01,3,7501088507755,681,
01855_02,2,7501258205733,160416,
02815_01,6,7502009742149,155301,
00463_01,15,7502001165151,16030742,
00759_01,2,7501277060030,944D14,
01855_02,2,7501258205733,160416,
00501_01,8,7502003388053,5433,
02738_01,4,5034642032575,r748941,
01855_02,6,7501258205733,160416,
02945_02,4,7503001007076,s5562,
02815_01,6,7502009742149,155301,
00002_03,3,7502009744891,160069,
01555_01,4,300090050139,912bc,
00425_01,1,7501752514119,15i11,
02808_01,4,7501109763436,16d133,
02770_06,1,7501493860001,vs01515,
01424_01,3,7501573900276,sb1505,
02962_01,1,7501088575594,AEK323,
