STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
01241_01,10,7501070635756,156
02579_01,3,7501165006386,5MXA013
00469_01,1,7501088507670,AFC315
00038_01,2,7501089800664,15040055A
00038_01,4,7501089800664,15120120
01431_03,4,7502009740664,161166
01241_01,10,7501070635756,156
02679_01,10,7502227872246,RL089
00910_01,10,7501326008402,L047620
02569_01,10,7502227870150,RRL092
02569_01,8,7502227870150,RRL093
01310_01,3,7503006698323,290CT1521
00833_01,6,7502009744570,161116
01377_01,3,7501165001619,5F101A
00282_01,1,7502216798120,15J191
02608_01,13,7501836009661,16C001
02738_01,2,5034642032575,R748941
