id,cantidad,codigo de barras,lote
02900_01,18,7501082242386,C945988
00924_01,6,7501573900900,sa1544
01905_02,8,7503003134268,1503525
02647_01,20,7501573900177,se1532
00712_01,10,7501075710250,010075
01874_01,5,7501573903260,LG1507
02844_07,5,7501573904243,sk1420
00627_01,10,7501672600343,5040805
00802_01,1,7501098604116,pbth
00802_01,1,7501098604116,pbst
00496_19,10,7501672690283,5030624
00282_01,2,7502216798120,C091
02656_01,10,7501250829876,50223
02844_07,4,7501573904243,sk1420
