stockid,cantidad,cb,lote
01424_01,6,7501573900276,SE1610
00694_02,2,7501123014101,159491
00421_01,4,7501082208160,c514122e
02791_01,3,7501752514928,15045
01912_02,7,7502211780373,R1510852
01641_01,3,7502009744440,164647
02615_01,5,7502009741296,161819
01641_01,7,7502009744440,164647
01912_02,3,7502211780373,r1510852
02007_01,2,7501037900521,656938
00786_02,8,8904091102112,12160133
02485_01,10,7501070615277,472FS099
00783_01,4,7501258203395,160568
01490_05,10,7501537102388,6091926
00735_01,12,7501050693806,6ktld31001
02668_01,5,785118752705,6d480
00031_02,10,780083148584,16142667
00055_01,5,7502211780359,r1605880
00496_01,10,7501573900320,sh1651
01912_02,1,7502211780373,r1510852
01503_01,10,7501825300120,162j
02791_01,1,7501752514928,15045
00643_01,2,7501075713800,620876
00135_01,8,7502209290068,1500256
02807_01,10,7502211784241,R1609474A
02861_01,5,7501123013302,170399
02591_02,5,7501092793038,11238215
02639_01,1,7501125102806,S16J386
00421_01,2,7501082208160,C514122E
01920_01,5,7502001169289,16030510
00779_01,3,7502009744976,160522
00031_02,2,780083148584,16142667
01885_01,3,7502211788355,R1607115
01885_03,7,7501573902614,LE1620
02807_01,30,7502211784241,R1609474A
