ID,CANTIDAD,CB,LOTE
02007_01,4,7501037900521,654673
00292_01,20,7501573934172,sl1505
01126_01,5,7501328980119,10960
01006_01,2,4030571000389,795
02611_01,4,7502211784180,r1604783
02604_11,8,7501349021440,16y388
00434_01,2,7501303436501,xb30e49a
01126_01,3,7501328980119,10960
00135_01,2,7502209290068,1500106
01153_02,2,7502211784043,R1604729
02615_01,2,7502009741296,161671
00712_07,1,7503004908691,1605376
00324_01,1,7501082224214,652956
02786_01,1,300055501638,M81105
01503_01,2,7501825300120,988G
02783_01,4,7502211780724,R1507346
02615_01,3,7502009741296,161671
02975_01,1,7501092792031,11188928
00467_01,3,785118752347,6B294
