ID,CANTIDAD,CB,LOTE
02807_01,15,7502211784241,R1512277
02738_01,1,5034642032575,R748941
02493_01,4,5034642020138,R737816
01304_01,5,7501092779278,11189983
00069_01,3,7502223112452,15JX41
01126_01,2,7501328980119,10960
02618_01,12,7502009741784,152662
00496_01,5,7501573900320,SK1547
02591_02,10,7501092793038,11185255
03031_01,1,7501390917099,511390
00362_01,11,7501314702640,S6B993
00362_01,4,7501314702640,S5J530
02945_02,3,7503001007076,S5562
02582_01,6,7502003380149,6074
00709_01,1,7502213142131,5358150804
00069_01,2,7502223112452,15JX41
00260_01,1,300090760045,M54027
00260_01,1,300090760045,M66650
02677_01,3,7501088607950,252690F
02691_01,8,7502211780045,R1512307
00362_01,5,7501314702640,S5J530
00624_01,4,3499320001359,5058105
02735_01,1,7501088506871,15125
01912_02,8,7502211780373,R1510852
