id,cantidad,codigo de barras,lote
02647_01,22,7501573900177,SC1547
00861_01,14,7502216796249,14K173
00815_01,2,7501094910556,T2427
00700_01,4,780083140595,15141665
02647_01,5,7501573900177,SC1547
01523_01,2,7501752514218,15063
00085_01,5,7503001007298,C4503
01889_02,6,7501644707339,405043
00531_01,4,7501122966203,116619
00294_01,6,785118752590,4k2861
00294_01,10,785118752590,4H1887
00067_01,1,7501122961017,110759
00472_01,3,7501075713190,350165
03037_01,2,7501825302599,892G
00209_04,5,7501384504939,3891014
00378_02,5,6205172005050,131930
,,,
,,,
,,,
,,,
,,,
