ID,CANTIDAD,CB,LOTE
02414_01,1,7501088589478,4306000015
01370_01,2,7501088509902,adf321
02193_01,4,7501033952784,58219mc
01754_01,2,7891106904353,bb10gzp
00565_01,5,7501075710786,110165
01033_01,3,7501094913809,H7321
01011_01,3,7501109901098,ac4989
00067_01,3,7501122961017,132781
02649_01,3,7501293200335,16a0047
00938_01,3,7501298234700,m55317
01258_01,4,7501123011704,133167
02225_01,13,7501409201096,215399
00553_02,2,656599041070,SE13SE04
00218_01,4,7501825300373,610h
00878_01,1,748499000155,18015
02803_03,1,7501537163266,6010001
01248_01,1,736085280098,4014042
01153_02,1,7502211784043,r1507344
02783_01,1,7502211780724,r1507346
00896_01,2,7501672690542,4111831
00377_01,8,7501258205092,160279
01904_01,1,7502211781943,r1412147
00679_01,8,7501108712213,l96795
00691_01,1,7502009740299,152679
00284_01,3,300093644045,ac8689
00534_01,10,7503004908714,1511887
01033_01,3,7501094913809,H7323
02691_01,4,7502211780045,R1508453
00501_01,8,7502003388053,5433
02611_01,12,7502211784180,R1508602
00362_01,12,7501314702640,S5J530
02657_01,1,7501258207584,152278
02657_01,4,7501258207584,152278
00194_01,1,7501258205221,141396
02875_01,6,7501471888089,127091
01499_01,2,7501258203586,152253
01370_01,1,7501088509902,AEJ387
