ID,CANTIDAD,CB,LOTE
02608_01,20,7501836009661,16C001
02634_01,2,780083139568,14142688
01003_02,11,7501070612856,058MR073
01135_01,3,7501298216409,18328
00501_01,10,7502003388053,5433
00426_01,2,7501573900122,sa1550
02230_01,1,7501088575396,AEM365
00388_01,6,7501072300102,5V7354
01029_01,1,7501123014743,5K0126
00682_01,3,7501303451603,WEM3E1
02840_01,5,7501188801227,134180
02578_01,6,7501871721160,76447
00778_01,1,7502009744433,152073
00160_01,7,637420202600,160501
00886_01,8,7501287660312,1504041a
00361_05,2,7502216793583,16a056
01716_01,1,8020030053090,14455
02962_01,1,7501088575594,aek323
00290_01,2,7501033953507,57010MC
00798_01,3,7501109904457,ae2136
00866_01,10,7501043163637,c737312
00899_01,1,7703331157506,53342a
01008_01,5,7501098621175,eabf
00167_01,2,7501050613965,m720114
02677_01,6,7501088607950,25269DF
02754_01,2,650240015366,5c109
01006_01,1,4030571000389,745
00907_03,1,7502223555082,1502825d
00256_01,12,7501871720767,98550
01135_01,1,7501298216409,18328
02770_06,2,7501493860001,vs01515
01450_05,20,7501573900337,SC1622
