id,cantidad,codigo de barras,lote,
00310_02,8,7502227871652,RMN196,
01490_09,4,7501644707230,410042,
02493_01,3,5034642020138,r701599,
02601_01,10,7501109904792,AA0024,
00502_01,10,7501298234601,m45990,
00469_01,3,7501088507670,AED359,
00296_02,4,7501070615277,472FR909,
01490_09,2,7501644707230,410042,
02794_01,7,7502213040024,5C065,
00694_01,1,7501300408204,409710,
02608_01,30,7501836009661,15e050,
00469_01,3,7501088507670,AED359,
02872_01,4,7501298204970,M50850,
00310_02,1,7502227871652,RMN196,
00373_02,40,7501349012943,N15M150,
02680_01,4,7502227870228,RFS067,
02823_01,6,7502216791527,15D152,
02802_01,4,7501573900146,SE1428,
00694_01,3,7501300408204,409710,
00896_01,1,7501672690542,4081239,
00469_01,3,7501088507670,AED359,
