id,cantidad,codigo de barras,lote
00165_01,3,7501094911126,K1119
02807_01,12,7502211784241,R1507290
01377_01,3,7501165001619,4F094A
00055_01,4,7502211780359,R1506181
01754_01,3,7891106904353,BB10GZP
00527_01,1,7501088606403,15C31JD
00055_01,13,7502211780359,R1506181
01782_02,2,7501098606103,2000278
01855_02,6,7501258205733,151435
01003_02,25,7501070612856,058DR063
00040_01,1,736085011937,4013641
00040_01,1,736085011937,4013642
01754_01,3,7891106904353,bb10gzp
02225_01,7,7501409201096,AW201404
02945_04,3,7502208890047,412648
02552_01,18,7501165005563,P1404319
00280_01,1,7501258200028,142580
02307_01,1,7501300408556,157
02553_01,3,7501165006171,449775
01885_09,10,7502211780915,R1502533
01135_01,3,7501298216409,M50127
00031_01,4,7501088509810,AEF340
02611_01,10,7502211784180,R1505015
01143_01,11,7501326002912,14P3930
00004_01,1,7501070902384,S1410558
02802_01,1,7501573900146,se1428
00871_01,5,7501043163057,1507600057
02807_01,10,7502211784241,R1507290
00884_01,9,7502227872123,RCN044
00290_01,8,7501033953507,51013MC1
00727_01,2,7501089804310,14060158
02726_04,5,7502222840349,91151
02611_01,6,7502211784180,R1505015
03009_01,2,7501092774730,282405
01492_01,5,7501871720606,22124
02802_01,1,7501573900146,se1428
00754_01,2,7501201490797,87391
02552_01,10,7501165005563,P1404319
02807_01,10,7502211784241,R1507290
00031_01,2,7501088509810,AEF340
02230_01,3,7501088575396,AEC330
00284_01,4,300093644045,AA5418
00186_01,2,7501037905588,502659A
01885_09,15,7502211780915,R1502533
