ID,CANTIDAD,CB,LOTE,
00679_01,12,7501108712213,M57673,
00847_01,10,7501559610908,EN038B,
02697_03,4,75041151,CDM00615,
00348_01,5,7501122900788,W1275,
02823_01,1,7502216791527,16E076,
00434_01,1,7501303436501,XB30D1HC,
00024_01,4,7503001007069,S6242,
01509_02,2,7502208891907,511661,
01509_02,2,7502208891907,511661,
01503_01,4,7501825300120,988G,
01912_02,3,7502211780373,R1603589,
00712_07,20,7503004908691,1605376,
01889_01,3,7501644700040,15M618,
00615_01,4,7501871720507,98105,
00348_01,2,7501122900788,w1306,
01754_01,3,7891106904353,MAOZCAF,
00679_01,6,7501108712213,m57673,
02648_01,4,7503001007649,la1623,
00899_01,3,7703331157506,54368d,
00180_01,2,7896116880543,BS01D5N,
02657_01,4,7501258207584,160846,
02427_01,1,7501201401557,f47992,
02677_01,3,7501088607950,257153f,
01494_03,3,7501573902782,LB1611,
01262_01,1,7501314705542,56A802,
00534_07,1,7502004402680,037046,
00499_01,3,7501109790029,16d132,
01003_02,15,7501070612856,058CS074,
00625_04,2,7501559619802,bn032a,
00067_01,2,7501122961017,146646,
00093_02,5,7501573904151,SA1624,
00310_09,5,656599040868,161045,
01503_01,3,7501825300120,988G,
01006_01,1,4030571000389,795,
02847_01,4,7502211783787,R1603594,
00871_01,11,7501043163057,1507600058,
00111_01,1,7501089804099,16010011,
01494_03,5,7501573902782,LB1611,
01795_01,3,7502209290075,1500255,
02615_01,6,7502009741296,161671,
02677_01,4,7501088607950,257153F,
01437_06,2,75049737,16051103,
01912_02,3,7502211780373,R1603589,
00327_01,8,7501122963028,6C0074,
00886_01,5,7501287660312,1504041A,
,,,,
,,,,
00067_01,1,7501122961017,139148,
