ID,CANTIDAD,CB,LOTE
00727_01,2,7501089804310,16050102
00280_01,5,7501258200028,160620
00208_01,3,7501050610674,M019208
00719_04,2,7501349024281,K16Y369
01033_01,4,7501094913809,H0019
00323_02,4,7501825301875,309J
02245_01,6,7501109904440,AE9165
01033_01,5,7501094913809,H0019
01069_02,2,7501043100311,gm6437
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
00067_01,1,7.50E+12,139148
