ID,CANTIDAD,CB,LOTE,,
02587_01,9,7501573900115,SL1502,,
00175_01,1,7501008465653,gu585tc,,
00794_01,2,7501082212150,655249,,
01436_01,2,7501326001977,l046531,,
02823_04,39,7502216790889,16a262,,
02657_01,12,7501258207584,160121,,
00380_01,5,8020030053175,12177,,
02242_01,2,7501314701766,S4E575,,
01053_01,10,8430308015901,41k,,
00899_01,6,7703331157506,51308B,,
01060_01,1,7501142940153,C140341,,
01716_01,9,8020030053090,14455,,
00191_01,2,7501299306468,K10235,,
00194_01,1,7501258205221,141396,,
02660_01,4,7502001162426,C15101416,,
02691_01,5,7502211780045,R1508453,,
00004_01,3,7501070902384,s1508546,,
02786_01,1,300055501638,M69000,,
00526_01,3,7501088606304,15d21c,,
00565_01,2,7501075710786,110165,,
00727_01,1,7501089804310,14060158,,
00907_03,1,7502223555082,1501699B,,
00421_01,2,7501082208160,C331133G,,
02657_01,6,7501258207584,152278,,
02242_01,1,7501314701766,S5J495,,
