ID,CANTIDAD,CB,LOTE
02565_07,2,7501349021365,Q016050
02693_04,6,7502213040987,6B003
00836_04,20,7841141003436,60129
02905_01,5,7501108767893,M04323
00871_01,2,7501043163057,1507600058
01550_02 ,6,7502264950549,018911
00545_01,8,7501573921264,SL1504
02865_05,14,7501573900542,SL1428
01886_06,8,7501573905417,lc1624
02612_04,5,7501277051304,0373B14B
01453_01,3,7501075713183,340045
02007_01,2,7501037900521,559530
00871_01,3,7501043163057,1507600058
00111_01,12,7501089804099,15110029
01483_01,4,7501672602958,415
02625_04,2,7501573900528,sh1531
00727_01,1,7501089804310,16010062
00469_01,4,7501088507670,afc315
01069_01,4,9300670132188,hh0145
00782_02,4,7501098606127,3001128d00
01126_01,15,7501328980119,10961
00037_01,3,7501089800060,15120076
00759_01,3,7501277060030,0944d14
02225_01,16,7501409201096,SKTLDCW004
01930_02,1,7501573902812,ll1503
02689_01,10,7501088504532,p1266
01099_01,2,7501050606585,L047Z74
00727_01,1,7501089804310,16010109
02553_01,5,7501165006171,535584
01453_01,3,7501075713183,340135
00727_01,1,7501089804310,16020145
