ID,CANTIDAD,CB,LOTE,,
02773_01,3,7501075713718,440046,,
02626_01,2,75006464,180035,,
02414_01,1,7501088589478,4306000018,,
00757_02,2,7502216934269,4054,,
00727_01,2,7501089804310,16030105,,
00256_01,,7501871720767,,,
00256_01,1,7501871720767,98553,,
00138_01,2,7501303443530,xb30cc7,,
00256_01,2,7501871720767,98553,,
00528_01,4,4046222418601,579562,,
03021_01,1,8715131006303,1067508,,
00419_01,1,7501082208702,558314,,
02972_01,5,7502227871683,RP095,,
00727_01,1,7501089804310,16030105,,
00138_01,3,7501303443530,XB30CC7,,
02618_01,10,7502009741784,160172,,
01069_02,1,7501043100311,GM6437,,
00169_03,20,780083141820,16240125,,
00055_06 ,5,780083141929,780083141929,,
01494_03,5,7501573902782,LB1611,,
01029_01,2,7501123014743,6E0128,,
00055_06,15,780083141929,780083141929,,
02618_01,20,7502009741784,160172,,
01375_01,6,7501303451559,542500,,
01754_01,20,7891106904353,MAOZCAF,,
