id,cantidad,codi,lote
00523_01,1,7501037950519,556647
02393_01,11,7501088507854,ADH376
02872_01,4,7501298204970,M50850
02861_01,10,7501123013302,114704
01098_01,6,7501471888393,113857
01903_01,1,7501009071860,M1050B06
02802_01,40,7501573900146,SE1428
00177_01,20,7501573921479,SE1436
02587_04,8,7501537100469,405345
00015_01,3,891671002062,GPL030A
00804_01,2,7501082212167,C199373D
00886_01,12,7501287660312,1429003
00295_04,10,7501125132537,B15Y457
01079_01,1,7501314703111,S3F308
01079_01,1,7501314703111,S4B195
01079_01,4,7501314703111,S41960
