STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00369_01,2,7501573900375,SD1610
00373_06,1,7501573900733,SG1630
00810_01,3,7501871720675,78222
02627_06,28,7501537102319,6101951
00691_01,1,7502009740299,160219
02630_01,1,7501573900405,sc1649
02630_01,25,7501573900405,se1664
00687_01,2,7501349011175,116u461
01782_02,1,7501098606103,2000371
01361_01,5,7501008497562,6C023
01361_01,7,7501008497562,6C022
02623_07,30,7502216792821,1.6E+41
00024_01,4,7503001007069,S6571
00168_01,1,7501050615112,N160110
00169_01,1,7502208891891,605638
01431_03,16,7502009740664,162277
02578_01,3,7501871721160,78562
02663_01,37,7501573900023,SD1621
02663_01,7,7501573900023,SA1651
00735_01,4,7501050693806,6KTLDCA001
02623_07,20,7502216792821,145649
