ID,CANTIDAD,CB,LOTE,
00425_01,2,7501752514119,15i11,
00866_01,3,7501043163637,c737312,
01143_01,1,7501326002912,1506117,
02553_01,1,7501165006171,535390,
02611_01,12,7502211784180,r1511152,
02876_01,1,7502213040031,5k295,
02692_01,15,7502227870532,rvd003,
02553_01,1,7501165006171,535390,
00779_01,2,7502009744976,160522,
02789_01,4,7501123013807,134788,
00284_01,2,300093644045,ae1838,
01555_01,2,300090050139,912bc,
01503_01,3,7501825300120,988G,
02225_01,6,7501409201096,215399,
00284_01,3,300093644045,AE1838,
02885_01,6,7501573900955,SC1616,
01482_01,2,7501471853315,128229,
02677_01,7,7501088607950,252690F,
01885_03,12,7501573902614,LB1608,
01069_01,2,9300670132188,HH0145,
02568_01,12,780083141578,16340431,
02835_01,2,7502001162013,16030706,
