STOCKID,CANTIDAD,CODIGO BARRAS,LOTE
00425_01,2,7501752514119,E011504
02587_01,2,7501573900115,SA1603
01361_01,3,7501008497562,5K003
01361_01,2,7501008497562,5G037
01361_01,1,7501008497562,5F047
00373_02,3,7501349012943,N15N084
00443_04,3,7501573920182,SK1541
02844_01,10,7501573904212,SA1625
00131_04,20,7501573900535,SB1624
01945_06,1,7501277093595,1646H15A
00280_01,9,7501258200028,152101
02602_05,10,7501573904847,SL1557
01238_01,10,7501043111959,UM0257
00534_02,10,7503003134206,1511887
02504_01,1,7501125141379,L15U013
,,,
