id,cantidad,codigo de barras,lote,
00284_01,4,300093644045,aa0588,
02570_12,2,7501075719208,190064,
00099_01,5,7501349021037,114Y237,
02693_01,3,7502213040116,4M313,
01930_01,3,7502223112179,14ky10,
01855_02,5,7501258205733,150034,
02626_04,4,7501825300878,954e,
01262_01,3,7501314705542,S5B523,
00323_01,3,7501109763641,4l070,
01855_02,2,7501258205733,150034,
01555_01,3,300090050139,U663B,
02855_01,3,656599040486,es14seg07,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
00754_01,2,7.50E+12,84761,
00754_01,8,7.50E+12,87391,
02608_01,2,7.50E+12,15C054,
00643_04,1,7.50E+12,620055,
